event_name,start_date,end_date,category
Pääsiäinen,2019-04-19,2019-04-22,Juhlapyhä
Vappu,2019-04-30,2019-05-01,Juhlapyhä
Äitienpäivä,2019-05-12,2019-05-12,Juhlapyhä
Juhannus,2019-06-21,2019-06-23,Juhlapyhä
Itsenäisyyspäivä,2019-12-06,2019-12-06,Juhlapyhä
Black Friday,2019-11-29,2019-11-29,Sesonki
Joulu,2019-12-24,2019-12-26,Juhlapyhä
Pääsiäinen,2020-04-10,2020-04-13,Juhlapyhä
Vappu,2020-04-30,2020-05-01,Juhlapyhä
Äitienpäivä,2020-05-10,2020-05-10,Juhlapyhä
Juhannus,2020-06-19,2020-06-21,Juhlapyhä
Itsenäisyyspäivä,2020-12-06,2020-12-06,Juhlapyhä
Black Friday,2020-11-27,2020-11-27,Sesonki
Joulu,2020-12-24,2020-12-26,Juhlapyhä
Uusivuosi,2020-01-01,2020-01-01,Juhlapyhä
Uusivuosi,2019-01-01,2019-01-01,Juhlapyhä
Pääsiäinen,2024-03-29,2024-04-01,Juhlapyhä
Vappu,2024-04-30,2024-05-01,Juhlapyhä
Lätkän MM-kisat,2024-05-10,2024-05-26,Urheilu
Juhannus,2024-06-21,2024-06-23,Juhlapyhä
Euroviisut,2024-05-07,2024-05-11,Viihde
Black Friday,2024-11-29,2024-11-29,Sesonki
Joulu,2024-12-24,2024-12-26,Juhlapyhä
Pääsiäinen,2025-04-18,2025-04-21,Juhlapyhä
Lätkän MM-kisat,2025-05-09,2025-05-25,Urheilu
Euroviisut,2025-05-13,2025-05-17,Viihde
